id,name,state,district,website,donation_url,image_url
57256,Alyse Galvin,AK,AL,http://www.alyse4alaska.com,https://secure.actblue.com/donate/alyse-for-alaska-1,
88460,James Averhart,AL,01,,https://secure.actblue.com/donate/james-averhart-1,
89509,Phyllis Harvey-Hall,AL,02,http://www.harveyhall2congress.com,https://secure.actblue.com/donate/campaign-to-elect-phyllis-harvey-hall-2,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/89509.jpg
89263,Adia Winfrey,AL,03,http://www.winfrey4congress.com,https://secure.actblue.com/donate/committee-to-elect-dr--adia-winfrey-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/89263.jpg
90197,Rick Neighbors,AL,04,http://neighbors4congress.com/,https://secure.actblue.com/donate/neighbors-helping-neighbors-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/90197.png
21825,Terri Sewell,AL,07,https://sewellforcongress.com/,https://secure.actblue.com/donate/terrisewell,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/21825.jpg
89290,Joyce Elliott,AR,02,https://www.joyceelliott.com,https://secure.actblue.com/donate/elliott-for-congress-main,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/89290.jpeg
83310,Celeste Williams,AR,03,,https://secure.actblue.com/donate/campaign-to-elect-celeste-williams-1,
86594,William Hanson,AR,04,http://williamhansonforcongress.com,https://secure.actblue.com/donate/william-hanson-for-congress-1,
40543,Tom O'Halleran,AZ,01,,https://secure.actblue.com/donate/tom-o-halleran-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/40543.png
52546,Ann Kirkpatrick,AZ,02,https://www.kirkpatrickforcongress.com/,https://secure.actblue.com/donate/kirkpatrick-for-congress-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/52546.jpeg
12662,Raul Grijalva,AZ,03,http://www.standwithraul.com/,https://secure.actblue.com/donate/raul-grijalva-2,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/12662.jpg
82182,Delina DiSanto,AZ,04,http://www.delinadisanto.com,https://secure.actblue.com/donate/delina-disanto-for-congress-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/82182.jpg
52915,Joan Greene,AZ,05,http://joangreeneaz.com/,https://secure.actblue.com/donate/joangreeneforcongress,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/52915.jpg
80975,Hiral Tipirneni,AZ,06,http://hiralforcongress.com,https://secure.actblue.com/donate/hiral-tipirneni-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/80975.png
36462,Ruben Gallego,AZ,07,http://www.GallegoForArizona.com,https://secure.actblue.com/donate/ruben-gallego-2,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/36462.JPG
81534,Michael Muscato,AZ,08,http://www.muscato4congress.com,https://secure.actblue.com/donate/muscato-for-congress-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/81534.jpeg
53310,Greg Stanton,AZ,09,http://stantonforarizona.com,https://secure.actblue.com/donate/stanton-for-congress-1,
57197,Audrey Denney,CA,01,http://www.audreyforcongress.com,https://secure.actblue.com/donate/audrey-denney-for-congress-1,
32678,Jared Huffman,CA,02,http://www.jaredhuffman.com/,https://secure.actblue.com/donate/jared-huffman-3,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/32678.jpg
22575,John Garamendi,CA,03,http://www.garamendi.org/,https://secure.actblue.com/donate/john-garamendi-3,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/22575.jpg
81472,Brynne Kennedy,CA,04,,https://secure.actblue.com/donate/brynne-kennedy-for-congress-1,
12664,Mike Thompson,CA,05,http://www.mikethompsonforcongress.com/,https://secure.actblue.com/donate/mike-thompson-2,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/12664.gif
12665,Doris Matsui,CA,06,http://www.matsuiforcongress.com/,https://secure.actblue.com/donate/doris-matsui-2,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/12665.jpg
22341,Ami Bera,CA,07,http://www.beraforcongress.com,https://secure.actblue.com/donate/ami-bera-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/22341.jpg
81105,Chris Bubser,CA,08,http://www.chrisbubser.com,https://secure.actblue.com/donate/chris-bubser-for-congress-1,
26585,Jerry McNerney,CA,09,http://www.jerrymcnerney.org/,https://secure.actblue.com/donate/jerry-mcnerney-4,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/26585.jpg
49974,Josh Harder,CA,10,http://www.harderforcongress.com,https://secure.actblue.com/donate/harder-for-congress-1,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/49974.jpg
57256,Alyse Galvin,AK,AL,http://www.alyse4alaska.com,https://secure.actblue.com/donate/alyse-for-alaska-1,
88460,James Averhart,AL,01,,https://secure.actblue.com/donate/james-averhart-1,
89509,Phyllis Harvey-Hall,AL,02,http://www.harveyhall2congress.com,https://secure.actblue.com/donate/campaign-to-elect-phyllis-harvey-hall-2,https://secure.actblue.com/x/object/actblue-images/entity/photos/thumb/89509.jpg
