CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,TTL_RECEIPTS
H6AK00045,"YOUNG, DONALD E",I,REP,AK,00,1362383.63
H8AK00140,"GALVIN, ALYSE",C,IND,AK,00,2266364.63
H0AL01097,"AVERHART, JAMES",O,DEM,AL,01,50126.74
H0AL01105,"GARDNER, KIANI A",O,DEM,AL,01,118661.85
H0AL01139,"COLLINS, FREDERICK G. RICK'",O,DEM,AL,01,62935.42
H0AL01055,"CARL, JERRY LEE, JR",O,REP,AL,01,1742352.1
H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",O,REP,AL,01,182564.96
H0AL01071,"PRINGLE, CHRISTOPHER PAUL",O,REP,AL,01,491715.7
H0AL01089,"HIGHTOWER, BILL",O,REP,AL,01,1254205.09
H0AL01121,"CASTORANI, JOHN",O,REP,AL,01,26809.68
H4AL01123,"BYRNE, BRADLEY ROBERTS",I,REP,AL,01,544643.34
H0AL02202,"HARVEY-HALL, PHYLLIS",O,DEM,AL,02,19860.27
H6AL02167,"MATHIS, NATHAN",O,DEM,AL,02,12230
H0AL02087,"ROBY, MARTHA",I,REP,AL,02,216297.5
H0AL02137,"DISMUKES, WILL",O,REP,AL,02,15043
H0AL02145,"COLEMAN, JEFF",O,REP,AL,02,2390880.83
H0AL02152,"KING, TROY",O,REP,AL,02,283113.4
H0AL02160,"BROWN, THOMAS WILLIAM JR.",O,REP,AL,02,22950
H0AL02178,"TAYLOR, JESSICA",O,REP,AL,02,476139.02
H0AL02194,"HASDORFF, TERRI",O,REP,AL,02,82156
H6AL02159,"ROGERS, ROBERT L",O,REP,AL,02,23574.69
H8AL02171,"MOORE, FELIX BARRY",O,REP,AL,02,493678
H8AL03062,"WINFREY, ADIA",C,DEM,AL,03,15149.47
H2AL03032,"ROGERS, MICHAEL",I,REP,AL,03,870578.51
H8AL04086,"NEIGHBORS, RICKY",C,DEM,AL,04,17132.89
H6AL04098,"ADERHOLT, ROBERT B. REP.",I,REP,AL,04,829785.56
H0AL05163,"BROOKS, MO",I,REP,AL,05,367009.79
H0AL05205,"LEWIS, CHRIS",C,REP,AL,05,167496.86
H4AL06098,"PALMER, GARY",I,REP,AL,06,687045.14
H0AL07086,"SEWELL, TERRI A.",I,DEM,AL,07,1605840.65
H0AR01083,"CRAWFORD, ERIC ALAN RICK",I,REP,AR,01,769901.02
H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",C,DEM,AR,02,1050501.58
H4AR02141,"HILL, JAMES FRENCH",I,REP,AR,02,1945710.25
H0AR03105,"WILLIAMS, CELESTE SARENE",C,DEM,AR,03,221199.85
H0AR03055,"WOMACK, STEVE",I,REP,AR,03,701102.62
H0AR02198,"REDMOND, RAYMOND DALLAS JR.",C,DEM,AR,04,20
H0AR04087,"HANSON, WILLIAM MR.",C,DEM,AR,04,73174
H4AR04048,"WESTERMAN, BRUCE",I,REP,AR,04,988220.66
H4AS00036,"AMATA, AUMUA",I,REP,AS,00,25126.15
H0AZ01358,"PUTZOVA, EVA",C,DEM,AZ,01,368557.21
H6AZ01199,"O'HALLERAN, TOM",I,DEM,AZ,01,2077283
H0AZ01366,"TAYLOR, CHRIS",C,REP,AZ,01,28872.83
H0AZ01390,"MOORE, JOHN WILLIAM",C,REP,AZ,01,8120.56
H0AZ01408,"REIDHEAD, NOLAN QUINN MR",C,REP,AZ,01,116439.03
H0AZ01424,"SHAMLEY, DOYEL",C,REP,AZ,01,4887.57
H8AZ01237,"SHEDD, TIFFANY",C,REP,AZ,01,624912.02
H0AZ02240,"KOHLER, NEVIN",C,DEM,AZ,02,0
H0AZ02281,"QUILTER, PETER",C,DEM,AZ,02,9114
H8AZ01104,"KIRKPATRICK, ANN",I,DEM,AZ,02,1485478.19
H0AZ02174,"WADSACK, JUSTINE LOUISE",C,REP,AZ,02,17427.68
H0AZ02182,"MORGAN, JOSEPH DAVID",C,REP,AZ,02,32517.2
H0AZ02190,"MARTIN, BRANDON RAY",C,REP,AZ,02,186623.73
H0AZ02224,"LIGON, MIKE",C,REP,AZ,02,50500
H0AZ02232,"STAUTZ, SHAY",C,REP,AZ,02,245212.74
H0AZ02265,"RUDEN, NORAN ERIC",C,REP,AZ,02,279460.24
H2AZ07070,"GRIJALVA, RAUL M",I,DEM,AZ,03,611648.53
H0AZ03453,"RONNEBECK, STEVE",C,REP,AZ,03,4880
H0AZ03461,"WOOD, DANIEL",C,REP,AZ,03,6205
H0AZ04519,"STARKY, STUART",C,DEM,AZ,04,5161
H8AZ04165,"DISANTO, DELINA",C,DEM,AZ,04,33300.85
H0AZ01259,"GOSAR, PAUL DR.",I,REP,AZ,04,395964.65
H0AZ04535,"WARD, ANNE MARIE",C,REP,AZ,04,88679.08
H0AZ04527,"ROBINSON, EMILY",C,IND,AZ,04,240267.23
H0AZ05185,"RAMOS, JAVIER GARCIA MR.",,DEM,AZ,05,6572.82
H8AZ05154,"GREENE, JOAN",C,DEM,AZ,05,101557.83
H6AZ05083,"BIGGS, ANDY MR.",I,REP,AZ,05,1005942.49
H0AZ06068,"RIMMER, STEPHANIE S",C,DEM,AZ,06,182598.64
H0AZ06084,"GENTLES, KARL E",C,DEM,AZ,06,234354.8
H8AZ06103,"MALIK, ANITA",C,DEM,AZ,06,243827.56
H8AZ08083,"TIPIRNENI, HIRAL VYAS",C,DEM,AZ,06,2492620.33
H4AZ06045,"SCHWEIKERT, DAVID S.",I,REP,AZ,06,1337087.33
H0AZ06092,"LEWELLEN, TOM MR.",C,C,AZ,06,13615
H4AZ07043,"GALLEGO, RUBEN",I,DEM,AZ,07,1389545.63
H0AZ07082,"BARNETT, JOSH",C,REP,AZ,07,11047
H0AZ08072,"MUSCATO, MICHAEL ARCHANGEL",C,DEM,AZ,08,214878.87
H0AZ08080,"OLSEN, ROBERT",C,DEM,AZ,08,60214.2
H8AZ08232,"MUSSELWHITE, ROBERT RICHARD",C,DEM,AZ,08,19032.97
H8AZ08158,"LESKO, DEBBIE",I,REP,AZ,08,1035779.63
H0AZ09062,"FUENTES-WOLFE, TALIA",C,DEM,AZ,09,11529
H8AZ09040,"STANTON, GREG",I,DEM,AZ,09,1383456.69
H0AZ09021,"TUTORA, NICHOLAS",C,REP,AZ,09,64102
H6AZ09010,"GILES, DAVID VICTOR",C,REP,AZ,09,89748.7
H8AZ09016,"BARONESS VON BEHR, IRINA",C,IND,AZ,09,0
H8CA01257,"DENNEY, AUDREY",C,DEM,CA,01,1322031.82
H2CA02142,"LAMALFA, DOUG",I,REP,CA,01,834972.74
H0CA02153,"MANGAS MONIZ, RACHEL OLIVIA",C,DEM,CA,02,9966.51
H2CA06259,"HUFFMAN, JARED",I,DEM,CA,02,628012.34
H4CA02098,"MENSING, DALE KENNETH",C,REP,CA,02,921
H0CA10149,"GARAMENDI, JOHN",I,DEM,CA,03,793644.95
H0CA03128,"HAMILTON, TAMIKA",C,REP,CA,03,146236.4
H0CA03136,"VAN DYKE, GREGORY",C,REP,CA,03,0
H0CA03144,"FEUCHT, J.C. SEAN",C,REP,CA,03,333293.94
H0CA04175,"KENNEDY, BRYNNE",C,DEM,CA,04,1463813.96
H0CA04183,"BENZEL, JULIANNE ELIZABETH MRS.",C,REP,CA,04,120607.86
H8CA04152,"MCCLINTOCK, THOMAS",I,REP,CA,04,1367240.89
H8CA01109,"THOMPSON, MIKE MR.",I,DEM,CA,05,1623478.92
H0CA05107,"GIBLIN, SCOTT",C,REP,CA,05,0
H0CA06162,"EMARD, BENJAMIN",C,DEM,CA,06,15956.89
