"district","PVI","incumbent","clinton_vote","clinton_pct","trump_vote","trump_pct"
"AK-AL","R+9","Don Young (R)","116454","36.6%","163387","51.3%"
"AL-01","R+15","Bradley Byrne (R)","103280","33.8%","192567","63.0%"
"AL-02","R+16","Martha Roby (R)","94196","32.8%","185357","64.5%"
"AL-03","R+16","Mike Rogers (R)","92882","31.9%","188853","64.8%"
"AL-04","R+30","Robert Aderholt (R)","50647","17.3%","233595","79.8%"
"AL-05","R+18","Mo Brooks (R)","97150","30.9%","200548","63.7%"
"AL-06","R+26","Gary Palmer (R)","86747","25.8%","233848","69.6%"
"AL-07","D+20","Terri Sewell (D)","204630","69.5%","83407","28.3%"
"AR-01","R+17","Rick Crawford (R)","78687","30.2%","169438","65.0%"
"AR-02","R+7","French Hill (R)","127883","41.7%","160782","52.4%"
"AR-03","R+19","Steve Womack (R)","89081","30.5%","180921","61.9%"
"AR-04","R+17","Bruce Westerman (R)","84843","31.3%","173731","64.2%"
"AZ-01","R+2","Tom O'Halleran (D)","132874","46.0%","135928","47.0%"
"AZ-02","R+1","Ann Kirkpatrick (D)","156676","48.7%","141196","43.9%"
"AZ-03","D+13","Raul Grijalva (D)","130466","61.6%","67952","32.1%"
"AZ-04","R+21","Paul Gosar (R)","82192","27.0%","202043","66.4%"
"AZ-05","R+15","Andy Biggs (R)","121280","35.5%","191432","56.1%"
"AZ-06","R+9","David Schweikert (R)","143571","41.7%","177332","51.6%"
"AZ-07","D+23","Ruben Gallego (D)","117958","70.6%","37232","22.3%"
"AZ-08","R+13","Debbie Lesko (R)","120992","36.4%","190163","57.1%"
"AZ-09","D+4","Greg Stanton (D)","155158","53.5%","109123","37.6%"
"CA-01","R+11","Doug LaMalfa (R)","114727","36.0%","176358","55.4%"
"CA-02","D+22","Jared Huffman (D)","238157","68.3%","80545","23.1%"
"CA-03","D+5","John Garamendi (D)","138882","52.6%","105860","40.1%"
"CA-04","R+10","Tom McClintock (R)","138790","38.5%","190924","53.0%"
"CA-05","D+21","Mike Thompson (D)","210950","68.8%","74088","24.2%"
"CA-06","D+21","Doris Matsui (D)","168687","68.0%","59549","24.0%"
"CA-07","D+3","Ami Bera (D)","159066","51.4%","124249","40.1%"
"CA-08","R+9","Paul Cook (R)","92234","39.6%","127464","54.7%"
"CA-09","D+8","Jerry McNerney (D)","134719","55.3%","90484","37.2%"
"CA-10","EVEN","Josh Harder (D)","116335","47.9%","109145","44.9%"
"CA-11","D+21","Mark DeSaulnier (D)","223559","69.7%","70869","22.1%"
"CA-12","D+37","Nancy Pelosi (D)","309221","85.2%","31158","8.6%"
"CA-13","D+40","Barbara Lee (D)","291926","86.0%","22743","6.7%"
"CA-14","D+27","Jackie Speier (D)","229008","76.8%","54229","18.2%"
"CA-15","D+20","Eric Swalwell (D)","198964","68.6%","68808","23.7%"
"CA-16","D+9","Jim Costa (D)","98504","57.2%","61813","35.9%"
"CA-17","D+25","Ro Khanna (D)","183801","73.6%","50926","20.4%"
"CA-18","D+23","Anna Eshoo (D)","246015","73.4%","67808","20.2%"
"CA-19","D+24","Zoe Lofgren (D)","187828","72.9%","55371","21.5%"
"CA-20","D+23","Jimmy Panetta (D)","180486","69.9%","59573","23.1%"
"CA-21","D+5","T.J. Cox (D)","73773","54.7%","52972","39.3%"
"CA-22","R+8","Devin Nunes (R)","102292","41.9%","125089","51.3%"
"CA-23","R+14","Kevin McCarthy (R)","88314","35.8%","142351","57.7%"
"CA-24","D+7","Salud Carbajal (D)","176979","55.9%","113887","36.0%"
"CA-25","EVEN","Katie Hill (D)","137491","50.1%","119249","43.4%"
"CA-26","D+7","Julia Brownley (D)","169083","56.6%","105259","35.2%"
"CA-27","D+16","Judy Chu (D)","174544","66.0%","74984","28.4%"
"CA-28","D+23","Adam Schiff (D)","208645","72.1%","64607","22.3%"
"CA-29","D+29","Tony Cardenas (D)","152517","77.7%","32963","16.8%"
"CA-30","D+18","Brad Sherman (D)","209149","69.1%","77701","25.7%"
"CA-31","D+8","Pete Aguilar (D)","131960","57.7%","83701","36.6%"
"CA-32","D+17","Grace Napolitano (D)","146459","66.6%","60921","27.7%"
"CA-33","D+16","Ted Lieu (D)","239982","67.8%","93706","26.5%"
"CA-34","D+35","Jimmy Gomez (D)","154259","83.6%","19784","10.7%"
"CA-35","D+19","Norma Torres (D)","127757","67.7%","50822","26.9%"
"CA-36","D+2","Raul Ruiz (D)","123795","52.2%","103051","43.4%"
"CA-37","D+37","Karen Bass (D)","236621","85.7%","26608","9.6%"
"CA-38","D+17","Linda Sanchez (D)","166224","67.0%","68033","27.4%"
"CA-39","EVEN","Gil Cisneros (D)","140230","51.1%","116782","42.6%"
"CA-40","D+33","Lucille Roybal-Allard (D)","135472","82.2%","21077","12.8%"
"CA-41","D+12","Mark Takano (D)","126197","61.0%","68526","33.1%"
"CA-42","R+9","Ken Calvert (R)","111103","41.4%","143175","53.4%"
"CA-43","D+29","Maxine Waters (D)","183434","78.4%","39039","16.7%"
"CA-44","D+35","Nanette Barragan (D)","164251","83.0%","24261","12.3%"
"CA-45","R+3","Katie Porter (D)","162449","49.4%","144713","44.0%"
"CA-46","D+15","Lou Correa (D)","119762","65.6%","50403","27.6%"
"CA-47","D+13","Alan Lowenthal (D)","161743","62.4%","80162","30.9%"
"CA-48","R+4","Harley Rouda (D)","152035","47.5%","146595","45.8%"
"CA-49","R+1","Mike Levin (D)","159081","50.5%","135576","43.1%"
"CA-50","R+11","Duncan Hunter (R)","115864","39.6%","159822","54.6%"
"CA-51","D+22","Juan Vargas (D)","147603","71.7%","46825","22.7%"
"CA-52","D+6","Scott Peters (D)","191325","58.1%","117057","35.6%"
"CA-53","D+14","Susan Davis (D)","200237","64.5%","91822","29.6%"
"CO-01","D+21","Diana DeGette (D)","277790","69.1%","93486","23.3%"
"CO-02","D+9","Joe Neguse (D)","264966","56.3%","164769","35.0%"
"CO-03","R+6","Scott Tipton (R)","151057","40.0%","195966","52.0%"
"CO-04","R+13","Ken Buck (R)","137784","34.3%","230946","57.4%"
"CO-05","R+14","Doug Lamborn (R)","123537","33.2%","212558","57.2%"
"CO-06","D+2","Jason Crow (D)","191098","50.2%","157114","41.3%"
"CO-07","D+6","Ed Perlmutter (D)","192637","51.8%","147645","39.7%"
"CT-01","D+12","John Larson (D)","195305","59.3%","119395","36.3%"
"CT-02","D+3","Joe Courtney (D)","165799","48.6%","155975","45.7%"
"CT-03","D+9","Rosa DeLauro (D)","179832","55.8%","129968","40.3%"
"CT-04","D+7","Jim Himes (D)","195494","59.5%","119976","36.5%"
"CT-05","D+2","Jahana Hayes (D)","161142","49.9%","147901","45.8%"
"DE-AL","D+6","Lisa Blunt Rochester (D)","235603","53.2%","185127","41.8%"
"FL-01","R+22","Matt Gaetz (R)","107063","28.2%","256607","67.5%"
"FL-02","R+18","Neal Dunn (R)","108637","30.6%","234998","66.2%"
"FL-03","R+9","Ted Yoho (R)","141362","40.2%","197478","56.2%"
"FL-04","R+17","John Rutherford (R)","143724","34.1%","261870","62.1%"
"FL-05","D+12","Al Lawson (D)","191145","61.3%","111845","35.9%"
"FL-06","R+7","Michael Waltz (R)","151451","39.9%","215936","56.9%"
"FL-07","EVEN","Stephanie Murphy (D)","186658","51.4%","160178","44.1%"
"FL-08","R+11","Bill Posey (R)","151412","37.7%","234648","58.4%"
"FL-09","D+5","Darren Soto (D)","195368","54.8%","149352","41.9%"
"FL-10","D+11","Val Demings (D)","194934","61.8%","110062","34.9%"
"FL-11","R+15","Dan Webster (R)","133451","32.5%","266261","64.8%"
"FL-12","R+8","Gus Bilirakis (R)","147761","38.8%","218492","57.4%"
"FL-13","D+2","Charlie Crist (D)","178892","49.6%","167348","46.4%"
"FL-14","D+7","Kathy Castor (D)","188868","57.2%","128792","39.0%"
"FL-15","R+6","Ross Spano (R)","144224","43.1%","177632","53.1%"
"FL-16","R+7","Vern Buchanan (R)","170442","43.0%","213271","53.7%"
"FL-17","R+13","Greg Steube (R)","123919","35.0%","220156","62.2%"
"FL-18","R+5","Brian Mast (R)","168558","44.1%","203773","53.3%"
"FL-19","R+13","Francis Rooney (R)","143010","37.5%","227114","59.6%"
"FL-20","D+31","Alcee Hastings (D)","231601","80.2%","52247","18.1%"
"FL-21","D+9","Lois Frankel (D)","206239","58.6%","137492","39.1%"
"FL-22","D+6","Ted Deutch (D)","202351","56.8%","146228","41.0%"
"FL-23","D+11","Debbie Wasserman Schultz (D)","207788","61.9%","120292","35.8%"
"FL-24","D+34","Frederica Wilson (D)","220723","82.7%","41486","15.5%"
"FL-25","R+4","Mario Diaz-Balart (R)","125986","47.9%","130900","49.7%"
"FL-26","D+6","Debbie Mucarsel-Powell (D)","164241","56.8%","117202","40.5%"
"FL-27","D+5","Donna Shalala (D)","175168","58.6%","116227","38.9%"
"GA-01","R+9","Buddy Carter (R)","110190","40.9%","151996","56.4%"
"GA-02","D+6","Sanford Bishop (D)","136456","55.0%","107361","43.3%"
"GA-03","R+18","Drew Ferguson (R)","102155","32.8%","200624","64.3%"
"GA-04","D+24","Hank Johnson (D)","224907","75.3%","66433","22.2%"
"GA-05","D+34","John Lewis (D)","259806","85.0%","36385","11.9%"
"GA-06","R+8","Lucy McBath (D)","155081","46.8%","160025","48.3%"
"GA-07","R+9","Rob Woodall (R)","132012","44.8%","150845","51.1%"
"GA-08","R+15","Austin Scott (R)","91360","34.4%","168193","63.3%"
"GA-09","R+31","Doug Collins (R)","57468","19.3%","231194","77.8%"
"GA-10","R+15","Jody Hice (R)","112691","35.8%","193029","61.3%"
"GA-11","R+17","Barry Loudermilk (R)","116601","35.3%","198898","60.3%"
