id,name,slug,race_type,org_type,state,district,candidate_name,event_feed_url
1,Mobilize,mobilize,,CAMPAIGN,,,,https://www.mobilize.us/
2,31st St Swing Left,31st-st-swing-left,,COORDINATED,,,,https://www.mobilize.us/31st-st-swing-left/
4,Arlington Dems,arlington-dems,,COORDINATED,,,,https://www.mobilize.us/arlington-dems/
5,Blue Future,blue-future,,COORDINATED,,,,https://www.mobilize.us/blue-future/
6,Bridging the Political Divide,bridging-the-political-divide,,COORDINATED,,,,https://www.mobilize.us/bridging-the-political-divide/
9,The Democratic National Committee,dnc,,PARTY_COMMITTEE,,,,https://events.democrats.org/
17,EveryDistrict,everydistrict,,COORDINATED,,,,https://www.mobilize.us/everydistrict/
20,Friends of Joe Biden,friends-of-joe-biden,,OTHER,,,,https://www.mobilize.us/friends-of-joe-biden/
36,Local Majority,local-majority,,COORDINATED,,,,https://www.mobilize.us/local-majority/
39,National Democratic Redistricting Committee,ndrc,,COORDINATED,,,,https://www.mobilize.us/ndrc/
42,Pantsuit Nation,pantsuit-nation,,COORDINATED,,,,https://www.mobilize.us/pantsuit-nation/
43,RISE District,rise-district,,INDEPENDENT,,,,https://www.mobilize.us/rise-district/
44,RISE Stronger,rise-stronger,,INDEPENDENT,,,,https://www.mobilize.us/rise-stronger/
45,Resistance Rountable,resistance-rountable,,COORDINATED,,,,https://www.mobilize.us/resistance-rountable/
46,Run for Something,run-for-something,,INDEPENDENT,,,,https://www.mobilize.us/run-for-something/
48,Sister District,sister-district,,COORDINATED,,,,https://www.mobilize.us/sister-district/
51,Arena,arena,,INDEPENDENT,,,,https://www.mobilize.us/arena/
53,Wall of Us,wall-of-us,,OTHER,,,,https://www.mobilize.us/wall-of-us/
55,WofA,wofa,,COORDINATED,,,,https://www.mobilize.us/wofa/
58,Women’s March,womens-march,,OTHER,,,,https://www.mobilize.us/womens-march/
93,Indivisible,indivisible,,INDEPENDENT,,,,https://www.mobilize.us/indivisible/
104,Mom's Demand Action for Gun Sense,mom's-demand-action-for-gun-sense,,INDEPENDENT,,,,https://www.mobilize.us/mom's-demand-action-for-gun-sense/
105,MoveOn,moveon,,INDEPENDENT,,,,https://www.mobilize.us/moveon/
106,NARAL,naral,,C4,,,,https://www.mobilize.us/naral/
112,Planned Parenthood,planned-parenthood,,INDEPENDENT,,,,https://www.mobilize.us/planned-parenthood/
