name,state,description,website,donation_url,logo_url,issues
Black Voters Matter - Alabama,AL,"Black Voters Matter Fund is dedicated to expanding Black Voter engagement and increasing progressive power. They advocate for policies to expand voting rights/access, including expanded early voting, resisting voter ID, re-entry restoration of rights and strengthening the Voting Rights Act as well as policies that intersect with race, gender, economic and other aspects of equity. They help support local groups in 17 Alabama counties. This includes staff training, candidate development and network development for Black led groups, individuals, and cohorts across the South.",https://www.blackvotersmatterfund.org,,https://wp.movement.vote/wp-content/uploads/BlackVotersMatter-logo-250x250.png,"Economic Justice, Racial Justice, Voting Rights"
Faith in Action Alabama,AL,PICO Affiliate in Alabama working with congregations around the state to build electoral engagement and mobilize faith communities on issues around mass criminalization and education.,https://fiaal.wordpress.com/,https://squareup.com/store/faith-in-action-alabama?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/fiaal-250x250.jpg,End Mass Criminalization
Alaskans Take a Stand,AK,"Alaskans Take a Stand is a diverse group of Alaskan citizens promoting awareness of social justice issues affecting their communities. They advocate for Indigenous rights, racial equity and wildlife preservation. This year they are working on voter education including informing about the process of voting.",https://www.facebook.com/AKstand,,https://wp.movement.vote/wp-content/uploads/ak-take-stand-250x250.jpg,"Climate / Environment, Economic Justice, Education, Healthcare, Racial Justice, Reproductive Justice, Voting Rights"
Native Peoples Action,AK,"Native Peoples Action (NPA) is an Indigenous-led organization advocating for equitable access to education, healthcare, wellness and protection of native lands and communities. NPA leverages Alaska Native community networks of volunteers to provide guidance to connect native values with political candidates, policies and land management projects. Through these actions, NPA is unifying Indigenous communities to practice being civically engaged, including registering to vote.",https://nativepeoplesaction.org/,https://secure.actblue.com/donate/nativepeoplesaction?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/NativePeoplesAction_logo-250x250.jpg,Climate / Environment
Arizona Asian American Native Hawaiian Pacific Islander for Equity (AZ AANHPI for Equity),AZ,Arizona Asian American Native Hawaiian and Pacific Islander (AANHPI) for Equity Coalition’s (AZ AANHPI for Equity Coalition) advocates for participation in decision making processes and resource allocation for marginalized communities. The AZ AANHPI for Equity Coalition ensures the development of nuanced solutions to both AANHPI and broader community issues pertaining to census count and voter engagement.,https://www.facebook.com/azaanhpiforequity/,,https://wp.movement.vote/wp-content/uploads/AANHPI-for-Equity-250x250.jpg,Voting Rights
Arizona Coalition for Change / Our Voice Our Vote Arizona,AZ,"Arizona Coalition for Change (C4C) & its (c)(4) sister organization Our Voice, Our Vote Arizona (OVOV) are member-led organizations based in Phoenix and Tucson committed to advocating for lasting progressive public policies that empower and equip our most vulnerable communities. They focus on building civic and political power in black and brown communities through voter mobilization & turnout, grassroots organizing, leadership development training, voter registration, electing champions into office, and holding elected officials accountable. By putting people first, they develop and lift up the voices of the New American Majority to take on the nations’ most pressing issues.",https://www.azc4c.org/,https://secure.actblue.com/donate/ourvoiceourvoteaz?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/image2-250x250.jpeg,"Economic Justice, End Mass Criminalization, Immigrant Rights, Racial Justice, Voting Rights"
Arizona Dream Act Coalition,AZ,"An immigrant youth-led organization that fights for higher education access and immigrant rights. ADAC began shortly after Prop 300 was implemented, prop 300  targets the education of undocumented immigrant students forcing many out of school. The group organizes with local communities to promote leadership development, civic engagement,higher education access, and grassroots organizing and advocacy around other issues that affect undocument youth and families. With the support of local attorneys around Arizona they have assisted thousands of DACA applicants with their initial applications and renewal processes free of cost.",http://theadac.org/,,https://wp.movement.vote/wp-content/uploads/ADAC.jpg,Immigrant Rights
Arizona Students' Association (ASA),AZ,"A student-led, non-partisan organization created to represent the collective interest of the 140,000+ university students and 400,000+ community college students in Arizona. They  advocate at the local, state, and national levels for affordable and accessible higher education. Their organization is built around three pillars – advocacy, organizing, and leadership development. ASA advocates for student issues to elected and appointed officials in Arizona and Washington D.C. They also run direct action campaigns on and off campus and work to build student power every year through voter registration, education and GOTV.",https://www.azstudents.org,https://secure.actblue.com/donate/asa?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/asa-logo-250x250.jpg,"Education, Immigrant Rights"
Arizona Wins,AZ,"The unified 501(c)4 table in Arizona, consisting of labor, immigrant, civic engagement, reproductive rights, civil rights, environmental, and other progressive organizations. The table came together in 2011 with the goal of pushing a progressive agenda in Arizona and advocating for better policy to serve working families and improve Arizona’s democracy. Arizona Wins functions as a shared hub for the electoral and voting rights advocacy field and communications efforts of all partners. Arizona Wins identifies shared priorities, organizes partner organizations to pool their resources, both financial and programmatic, to invest in a coordinated program to reach our shared goals, and identifies and works to fill gaps in both resources and program areas.",http://az-wins.org/,,https://wp.movement.vote/wp-content/uploads/ArizonaWins_logo-250x250.jpg,"Economic Justice, Racial Justice, Voting Rights"
AZ Tribal Vote Working Group at Arizona Wins,AZ,"The AZ Tribal Vote Working Group, anchored at Arizona Wins, is a native-led grassroots progressive voter engagement group representing and working with tribal stakeholders and native organizations across Arizona. They are aiming for 22,000 voter registrations through a strategy co-developed with partners including the Inter Tribal Council of Arizona, Native American Connections, Phoenix Indian Center, The Rural Utah Project, Advance Native Political Leadership, Native Health, Four Directions, Tucson Indian Center, Navajo Power, Instituto, UNITY, and The Indian Legal Clinic.",http://az-wins.org/,,https://wp.movement.vote/wp-content/uploads/AZ-TRIBAL-VOTES-WORKING-GROUP-1-250x250.png,"Climate / Environment, Economic Justice, Racial Justice"
Black Phoenix Votes,AZ,"Black Phoenix Votes is an intergenerational, Black-led organization. They organize in the most marginalized communities; LGBTQ+, formerly incarcerated individuals, Muslim immigrants and refugees. They build black political power through political education, leadership development, policy advocacy, and electoral engagement.",https://www.facebook.com/blackphxoc/,https://secure.everyaction.com/LoBV3hrLGEKq61AbqOziDw2?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/bpoc-logo-250x250.jpg,"End Mass Criminalization, Immigrant Rights, LGBTQ, Racial Justice, Voting Rights"
Council on American Islamic Relations (CAIR) - Arizona,AZ,"Defending rights and defeating intolerance, the Arizona chapter of the Council on American Islamic Relations is the leading American Muslim advocate for justice and mutual understanding in Arizona. Their mission is to enhance the understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims, and build coalitions that promote justice and mutual understanding.  CAIR-AZ does this through our legal work, advocacy and through civic engagement programs that empower our community.",http://cair-az.org,https://secure.actblue.com/donate/cair-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/CAIRArizona_logo-250x250.jpg,"End Mass Criminalization, Immigrant Rights, Racial Justice, Voting Rights"
Diné Citizens Against Ruining our Environment (C.A.R.E),AZ,"A recognized environmental all-Navajo organization based within the Navajo homeland. It’s empowering local and traditional people to organize, speak out and determine their own destinies. It’s educating and advocating for traditional teachings and providing a voice for all life in the Four Sacred Mountains. Among their victories on multiple issues, a key one is winning reform of the Radiation Exposure Compensation Act.",https://www.dine-care.org/,https://secure.actblue.com/donate/four-directions--inc--1?utf8=%E2%9C%93&amount=&commit=Contribute?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/DineCARE_logo-250x250.jpg,"Climate / Environment, Economic Justice, Education, Racial Justice"
Equality Arizona,AZ,"Our mission is to build the political power of the Arizona LGBTQ community for our full inclusion in the social, economic, and civil mechanisms of our society.",https://www.equalityarizona.org/,,https://wp.movement.vote/wp-content/uploads/equality-az-logo-250x250.jpg,"Economic Justice, Healthcare, LGBTQ, Racial Justice, Reproductive Justice, Voting Rights"
Instituto,AZ,"An organization focused on building effective and sustaining advocacy capacity among low-income and leaders of color in Arizona. Their programs accelerate the work of existing organizations to ensure they can scale and run impactful programs for elections and advocacy campaigns. Their work includes an executive leadership program that builds relationships and coordination across the progressive political infrastructure, and a fellowship that targets middle managers of the most influential organizations in the state. Instituto also incubates community-based organizations to build a more robust progressive infrastructure in Arizona.",https://www.instituto.io/,,https://wp.movement.vote/wp-content/uploads/instituto-logo-250x250.jpg,"Economic Justice, Education, Immigrant Rights, Racial Justice, Voting Rights"
Living United Change for Arizona (LUCHA) / Arizona Center for Empowerment (ACE),AZ,"LUCHA and its c3 sister ACE are Center for Popular Democracy affiliates based in the Phoenix area, started to challenge anti-immigrant policies. They have over 1000 Latino and immigrant members, and provide empowerment services along with leadership development, organizing, and civic engagement at scale. They’ve led ballot campaigns including the winning 2016 Prop 206 Minimum Wage initiative, helped in the efforts to defeat former Maricopa County Sheriff Arpaio, and continue to create leaders and campaigns that challenge the political status quo in Arizona.",http://www.luchaaz.org,https://secure.actblue.com/contribute/page/mvmt-az-lucha-c4?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/Lucha-logo-250x250.jpg,"Economic Justice, Immigrant Rights, Racial Justice"
Mass Liberation Arizona / Decarcerate Arizona,AZ,"Mass Liberation Arizona, and their partner 501(c)4 organization, Decarcerate Arizona, are building power to end mass incarceration and divest from the carceral system. They are led by directly impacted people in the struggle for liberation by building a movement in South Phoenix, one of the most disproportionately policed, incarcerated, and paroled communities in Arizona. And in South Tucson which exists in the modern legacy of segregation, redlining, and now threatened by displacement and gentrification.",https://www.masslibaz.org/,https://secure.everyaction.com/WmH46bWDq0y-gu9NoIQphQ2?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/mass-liberation-az-logo-e1591676090285-250x250.jpg,"End Mass Criminalization, Immigrant Rights, Racial Justice, Voting Rights"
Mi Familia Vota / Mi Familia Vota Education Fund - Arizona,AZ,"A civic engagement organization and champion of civil rights building Latino political power. It unites Latinos, immigrants, and allies to promote social and economic justice through citizenship workshops, voter registration, and voter participation. Working on immigrant rights, voting rights, environment, workers rights, healthcare, and education. Its focused efforts to register and mobilize new and young voters to the polls this election cycle.",https://www.mifamiliavota.org/where-we-are/arizona/,https://secure.actblue.com/donate/mi-familia-vota-education-fund-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/MiFamiliaVota_logo-250x250.jpg,"Climate / Environment, Economic Justice, Education, Healthcare, Immigrant Rights, Voting Rights"
"Mijente, Inc / Mijente Support Committee  - Arizona",AZ,"Part of the national organization and political home for Latinx and Chicanx organizing for racial justice. Mobilizing against immigration enforcement and criminalization. Currently leading a campaign to pressure tech companies to stop profiting from the suffering of immigrants. Organizing in Phoenix, working on candidate endorsements for local elections and community engagement programs for the presidential elections.",https://mijente.net/,,https://wp.movement.vote/wp-content/uploads/Mijente-AZ-250x250.png,"Economic Justice, End Mass Criminalization, Immigrant Rights, LGBTQ, Racial Justice"
Native American Voter Engagement Project at Instituto,AZ,"The Native American Voter Engagement Project at Instituto, led by Raina Roan of the Navajo Nation, aims to encourage Native organizations or leaders to engage in voter work in their communities. The project in partnership with MVP will award seed funding and capacity support to a cohort of organizations that provide plans that aim to increase Native vote turn out by 2% in the 2020 cycle.",https://www.instituto.io/,,https://wp.movement.vote/wp-content/uploads/Native-American-Voter-Engagement-Project-1-250x250.png,"Climate / Environment, Economic Justice, Racial Justice"
One Arizona,AZ,"One Arizona was formed as a direct response to the growing disenfranchisement of voters and the attack on the Latino community in the form of SB1070. The table members represent a broad tapestry of 501c3s focused on voter registration, voter engagement, voter mobilization, election protection, and issue advocacy. They work collaboratively on civic engagement efforts in statewide and municipal election cycles, which increases the effectiveness, coordination, and evaluation of those efforts.",http://www.onearizona.org/,https://secure.actblue.com/contribute/page/mvmt-az-one-arizona-c3?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/OneArizona-logo-250x250.jpg,"Climate / Environment, Economic Justice, End Mass Criminalization, Immigrant Rights, LGBTQ, Racial Justice, Reproductive Justice, Voting Rights"
People's Defense Initiative,AZ,"A community-led grassroots organization focused on uplifting and implementing progressive and inclusive policies that promote community engagement and defend human rights. Through direct action organizing, transformative leadership development, advocacy, coalition building, and education in Tucson, PDI seeks to defend and uplift the voices of marginalized communities for real and meaningful change by mobilizing around issues through policy change and catapulting grassroots leadership to positions of electoral office. They work to turn out communities of color in areas traditionally not reached by other campaigns.",https://www.peoplesdefenseinitiative.org/,,https://wp.movement.vote/wp-content/uploads/pdi-logo-250x250.jpg,"Economic Justice, End Mass Criminalization, Immigrant Rights, Racial Justice, Voting Rights"
PODER / PODER in Action,AZ,"Poder in Action (c3) and their sister organization Poder (c4) focus on leadership development, systems change, and community-driven public policy. Their advocacy within the crimmigration system has successfully increased police accountability and transparency. Poder in Action’s mission is to build power to disrupt and dismantle systems of oppression and determine a liberated future as working class and people of color. Poder has successfully won and collaborated in several electoral campaigns that have moved a progressive platform and held politicians accountable by turning out people of color. They’ve become supporter and incubator for several new organizations that have strengthened the local organizing infrastructure in West Phoenix.",https://www.poderinaction.org/,https://secure.actblue.com/donate/poder-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/PoderInAction_logo-250x250.jpg,"End Mass Criminalization, Immigrant Rights, Racial Justice"
Progressive Democrats of America NF / Progressive Vote NF - Arizona,AZ,"The Arizona chapter of the creative and dynamic grassroots PAC that seeks to transform the Democratic Party and country into a government and party controlled by citizens, not by the corporate elite. They have shaken up the political status quo on issues including ending Iraq war funding, fighting for voter rights, protecting Social Security, national health care, and economic justice. They’ve endorsed progressive champions and are mobilizing voters for the 2020 November election.",https://pdamerica.org/,https://secure.actblue.com/donate/sustainpda?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/PDA.jpg,"Economic Justice, Healthcare, Voting Rights"
Tomorrow We Vote Action / Tomorrow We Vote,AZ,"Tomorrow We Vote (501c3) is a Phoenix, Arizona-based nonpartisan nonprofit focused on registering students in high schools using a specialized curriculum developed to allow voting-aged youth to understand their political power. Tomorrow We Vote Action (501c4) focuses on progressive issues important to the youth and provides education-based political actions through civic engagement.",https://www.tomorrowwevote.org/,https://secure.actblue.com/donate/tomorrowwevote?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/tomorrow_we_vote-250x250.jpg,Voting Rights
