"state","chamber","seats_up","margin"
"AK","lower","All 40","R+8"
"AZ","lower","All 60","R+2"
"CO","upper","18 out of 35","D+3"
"CT","upper","All 36","D+8"
"DE","upper","11 out of 21","D+3"
"IA","lower","All 100","R+6"
"KY","lower","All 100","R+20"
"ME","lower","All 151","D+33"
"ME","upper","All 35","D+7"
"MI","lower","All 110","R+6"
"MN","lower","All 134","D+16"
"MN","upper","All 67","R+3"
"NE","upper","25 out of 49","R+12"
"NV","upper","10 out of 21","D+5"
"NH","lower","All 400","D+67"
"NH","upper","All 24","D+4"
"NM","lower","All 70","D+22"
"NY","upper","All 63","D+18"
"NC","lower","All 120","R+10"
"NC","upper","All 50","R+8"
"PA","lower","All 203","R+17"
"WV","lower","All 100","R+17"
