"state","rating","electoral_votes","updated"
"AK","LIKELY-R","3","2020-06-23"
"AR","SOLID-R","6","2020-06-08"
"AZ","TOSS-UP","11","2020-06-08"
"CA","SOLID-D","55","2020-06-08"
"CO","LIKELY-D","9","2020-06-08"
"CT","SOLID-D","7","2020-06-08"
"DC","SOLID-D","3","2020-06-08"
"DE","SOLID-D","3","2020-06-08"
"FL","TOSS-UP","29","2020-09-10"
"GA","TOSS-UP","16","2020-06-08"
"HI","SOLID-D","4","2020-06-08"
"IA","LEAN-R","6","2020-06-08"
"ID","SOLID-R","4","2020-06-08"
"IL","SOLID-D","20","2020-06-08"
"IN","LIKELY-R","11","2020-06-24"
"KS","LIKELY-R","6","2020-06-24"
"KY","SOLID-R","8","2020-06-08"
"LA","SOLID-R","8","2020-06-08"
"MA","SOLID-D","11","2020-06-08"
"MD","SOLID-D","10","2020-06-08"
"ME","LIKELY-D","2","2020-06-08"
"MI","LEAN-D","16","2020-06-08"
"MN","LEAN-D","10","2020-06-08"
"MO","LIKELY-R","10","2020-06-24"
"MS","SOLID-R","6","2020-06-08"
"MS","SOLID-R","6","2020-06-08"
"MT","LIKELY-R","3","2020-06-24"
"NC","TOSS-UP","15","2020-06-08"
"ND","SOLID-R","3","2020-06-08"
"NE","SOLID-R","2","2020-06-08"
"NH","LEAN-D","4","2020-06-23"
"NJ","SOLID-D","14","2020-06-08"
"NM","SOLID-D","5","2020-06-08"
"NV","LEAN-D","6","2020-09-10"
"NY","SOLID-D","29","2020-06-08"
"OH","LEAN-R","18","2020-06-08"
"OK","SOLID-R","7","2020-06-08"
"OR","SOLID-D","7","2020-06-08"
"PA","LEAN-D","20","2020-06-08"
"RI","SOLID-D","4","2020-06-08"
"SC","LIKELY-R","9","2020-06-24"
"SD","SOLID-R","3","2020-06-08"
"TN","SOLID-R","11","2020-06-08"
"TX","LEAN-R","38","2020-06-08"
"UT","LIKELY-R","6","2020-06-24"
"VA","LIKELY-D","13","2020-06-08"
"VT","SOLID-D","3","2020-06-08"
"WA","SOLID-D","12","2020-06-08"
"WI","LEAN-D","10","2020-06-08"
"WV","SOLID-R","5","2020-06-08"
"WY","SOLID-R","3","2020-06-08"
