Candidate,Status_of_Candidate,Specific_Party,Election_Jurisdiction,Election_Year,Office_Sought,Incumbency_Status,#_of_Records,Total_$
"CARNEY JR, JOHN C",Pending,DEMOCRATIC,DE,2020,GOVERNOR,Incumbent,546,368534.7
"HALL-LONG, BETHANY A",Default Winner,DEMOCRATIC,DE,2020,LIEUTENANT GOVERNOR,Incumbent,310,85434.46
"MACHUREK, JOHN J",Default Winner,LIBERTARIAN,DE,2020,GOVERNOR,Open,0,0
"DEMATTEIS, KATHY S",Default Winner,INDEPENDENT PARTY OF DELAWARE,DE,2020,GOVERNOR,Open,0,0
"HALL, DONYALE",Default Winner,REPUBLICAN,DE,2020,LIEUTENANT GOVERNOR,Open,0,0
"WILLIAMS JR, DAVID LAMAR",Pending,DEMOCRATIC,DE,2020,GOVERNOR,Challenger,0,0
"BONINI, COLIN",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"BOSCO, DAVID JOSEPH",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"GRAHAM, DAVID C",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"MURRAY, JULIANNE E",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"RICHARDSON, BRYANT L",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"SHEA, NEIL",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"WALKER, SCOTT",Pending,REPUBLICAN,DE,2020,GOVERNOR,Open,0,0
"HOLCOMB, ERIC",Won,REPUBLICAN,IN,2020,GOVERNOR,Incumbent,3665,10635194.26
"MYERS, WOODROW (WOODY)",Won,DEMOCRATIC,IN,2020,GOVERNOR,Open,953,853308.08
"RAINWATER II, DONALD G & HENRY, WILLIAM E",Pending,LIBERTARIAN,IN,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,0,0
"WEINZAPFEL, JONATHAN",Pending,DEMOCRATIC,IN,2020,ATTORNEY GENERAL,Open,0,0
"ROKITA, TODD",Pending,REPUBLICAN,IN,2020,ATTORNEY GENERAL,Open,0,0
"GALLOWAY, NICOLE",Won,DEMOCRATIC,MO,2020,GOVERNOR,Open,16993,3419918.89
"PARSON, MICHAEL L (MIKE)",Won,REPUBLICAN,MO,2020,GOVERNOR,Incumbent,4737,3238775.9
"KEHOE, MICHAEL L (MIKE)",Won,REPUBLICAN,MO,2020,LIEUTENANT GOVERNOR,Incumbent,928,967871.41
"CANADY, ALISSIA",Won,DEMOCRATIC,MO,2020,LIEUTENANT GOVERNOR,Open,666,55563.99
"COMBS, RIK",Won,LIBERTARIAN,MO,2020,GOVERNOR,Open,20,2031.58
"DRAGOO, KELLEY",Won,GREEN,MO,2020,LIEUTENANT GOVERNOR,Open,4,541.32
"BAUER, JEROME HOWARD",Won,GREEN,MO,2020,GOVERNOR,Open,0,0
"SLANTZ, BILL",Won,LIBERTARIAN,MO,2020,LIEUTENANT GOVERNOR,Open,0,0
"SCHMITT, ERIC",Won,REPUBLICAN,MO,2020,ATTORNEY GENERAL,Incumbent,906,1017577.62
"ASHCROFT, JOHN R (JAY)",Won,REPUBLICAN,MO,2020,SECRETARY OF STATE,Incumbent,384,449147.82
"FALETI, YINKA",Won,DEMOCRATIC,MO,2020,SECRETARY OF STATE,Open,754,385613.53
"FINNERAN, RICHARD E (RICH)",Won,DEMOCRATIC,MO,2020,ATTORNEY GENERAL,Unknown,2222,283998.38
"FREESE, CARL HERMAN",Won,LIBERTARIAN,MO,2020,SECRETARY OF STATE,Open,0,0
"LEHMAN, PAUL",Won,GREEN,MO,2020,SECRETARY OF STATE,Open,0,0
"VENABLE, PAUL",Won,CONSTITUTION,MO,2020,SECRETARY OF STATE,Open,0,0
"BABCOCK, KEVIN C",Won,LIBERTARIAN,MO,2020,ATTORNEY GENERAL,Open,0,0
"GIANFORTE, GREG & JURAS, KRISTEN",Won,REPUBLICAN,MT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,7546,3982531.03
"COONEY, MIKE & SCHREINER, CASEY",Won,DEMOCRATIC,MT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,17855,1099355.67
"BISHOP, LYMAN J & NESPER, JOHN",Default Winner,LIBERTARIAN,MT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,29,14097.49
"BARB, ROBERT & THOMAS, JOSHUA",Won,GREEN,MT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,0,0
"GRAYBILL, RAPH",Won,DEMOCRATIC,MT,2020,ATTORNEY GENERAL,Open,2911,378892.1
"BENNETT, BRYCE",Won,DEMOCRATIC,MT,2020,SECRETARY OF STATE,Open,2143,202918.74
"KNUDSEN, AUSTIN",Won,REPUBLICAN,MT,2020,ATTORNEY GENERAL,Open,1075,194141.91
"JACOBSEN, CHRISTI",Won,REPUBLICAN,MT,2020,SECRETARY OF STATE,Open,317,160496.4
"DAVIS, ROY",Won,GREEN,MT,2020,ATTORNEY GENERAL,Open,1,1410.23
"COOPER III, ROY ASBERRY",Pending,DEMOCRATIC,NC,2020,GOVERNOR,Incumbent,106488,18870314.24
"FOREST, DANIEL JAMES (DAN)",Pending,REPUBLICAN,NC,2020,GOVERNOR,Challenger,14717,6829536.91
"ROBINSON, MARK KEITH",Pending,REPUBLICAN,NC,2020,LIEUTENANT GOVERNOR,Open,4148,400423.21
"HOLLEY, YVONNE LEWIS",Pending,DEMOCRATIC,NC,2020,LIEUTENANT GOVERNOR,Open,1881,354152.77
"DIFIORE, STEVEN JOSEPH",Pending,LIBERTARIAN,NC,2020,GOVERNOR,Challenger,22,2688.97
"STEIN, JOSHUA H (JOSH)",Pending,DEMOCRATIC,NC,2020,ATTORNEY GENERAL,Incumbent,17298,6212569.09
"ONEILL, JAMES RODERICK",Pending,REPUBLICAN,NC,2020,ATTORNEY GENERAL,Challenger,808,771552.46
"MARSHALL, ELAINE F",Pending,DEMOCRATIC,NC,2020,SECRETARY OF STATE,Incumbent,2976,449773.43
"SYKES, ESLIE CORNELIUS (E C)",Pending,REPUBLICAN,NC,2020,SECRETARY OF STATE,Challenger,473,402203.27
"BURGUM, DOUG & SANFORD, BRENT",Won,REPUBLICAN,ND,2020,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,310,612618.36
